batch_start_ep,batch_end_ep,new_states,batch_seconds,ema_seconds,states_per_second,cumulative_states,coverage_percent,q_updates
0,120,33396,156.61144280433655,0,213.2411233943071,33396,5.159436410826845,80551
120,182,8377,80.34833145141602,156.61144280433655,104.25854337828154,41773,6.453621307625756,41505
182,214,3903,41.73238468170166,133.7325093984604,93.52449014760815,45676,7.056606105549376,21536
214,230,1659,21.490715742111206,106.13247198343277,77.1961259879855,47335,7.312909405512298,10732
230,240,1027,14.210204601287842,80.73994511103629,72.2720065485141,48362,7.471573353108392,6673
240,250,838,12.917182922363281,60.781022958111755,64.87482642590638,49200,7.601038190582128,6704
250,260,1028,13.889393329620361,46.42187094738721,74.01331185629965,50228,7.759856630824373,6632
260,270,871,15.551718473434448,36.66212766205716,56.006672284342606,51099,7.89441972562106,6715
270,280,928,11.828361749649048,30.329004905470345,78.4554970199093,52027,8.037788901248302,6657
280,290,859,12.09552264213562,24.778811958723956,71.0180143028803,52886,8.170498084291188,6703
290,300,850,12.647526741027832,20.973825163747456,67.20681579922262,53736,8.301816833518725,6753
300,310,891,13.993814706802368,18.475935636931567,63.67098740895051,54627,8.439469781238413,6729
310,320,987,14.840028285980225,17.131299357892807,66.50930719131078,55614,8.591954022988507,6711
320,330,768,13.920519351959229,16.443918036319033,55.170355399987905,56382,8.710604375231739,6749
330,340,804,13.994523048400879,15.686898431011091,57.45104690022796,57186,8.834816462736374,6705
340,350,733,14.358953714370728,15.179185816228028,51.04828768034811,57919,8.948059572364356,6728
350,360,755,17.265388250350952,14.933116185670837,43.72910640944626,58674,9.064701520207638,6795
360,370,737,13.082170724868774,15.632797805074869,56.33621632830302,59411,9.17856260042022,6702
370,380,784,11.638659715652466,14.86760968101304,67.36170823394924,60195,9.299684835001854,6744
380,390,777,11.017117261886597,13.898924691404867,70.52661613106446,60972,9.419725621060437,6660
390,400,637,11.799975633621216,13.034382462549384,53.98316231984585,61609,9.518137436658016,6694
400,410,728,13.114874362945557,12.664060413870933,55.509490968275934,62337,9.630608083055247,6642
410,420,838,12.782352924346924,12.79930459859332,65.55913492294809,63175,9.760072920528982,6701
420,430,515,11.277588129043579,12.794219096319399,45.66579255308162,63690,9.839636633296255,6729
430,440,718,10.878037691116333,12.339229806136652,66.00455159172343,64408,9.950562353231986,6731
440,450,553,10.75436019897461,11.900872171630557,51.421004110753756,64961,10.03599678655296,6765
450,460,531,14.126371622085571,11.556918579833772,37.58927021074679,65492,10.118032381658633,6654
460,470,569,11.63252568244934,12.32775449250931,48.914570707415926,66061,10.205938697318008,6744
470,480,402,11.74062967300415,12.11918584949132,34.240071546106236,66463,10.268044741070327,6618
480,490,657,11.433950185775757,12.005618996545168,57.460456738505954,67120,10.369546409590903,6679
490,500,504,12.619365453720093,11.834118353314343,39.93861671162116,67624,10.447410703250526,6715
500,510,483,14.119887351989746,12.069692483436068,34.2070717676042,68107,10.522030651340996,6717
510,520,412,12.662628889083862,12.68475094400217,32.536687571660174,68519,10.585681621554814,6696
520,530,457,12.297007322311401,12.678114327526677,37.163513692541265,68976,10.656284760845383,6639
530,540,510,12.140992879867554,12.563782225962093,42.00644914681505,69486,10.735076010381906,6643
540,550,532,15.141767978668213,12.43694542213373,35.1346025609086,70018,10.817266098133729,6739
550,560,446,13.961628675460815,13.248392189094075,31.944697167308053,70464,10.886169818316647,6686
560,570,509,14.204948663711548,13.462363135004097,35.83258285897991,70973,10.964806575207021,6742
570,580,547,13.90873122215271,13.68513879361633,39.32781439681445,71520,11.049314052651093,6701
580,590,575,15.993909358978271,13.752216522177243,35.95118536027094,72095,11.138147324187369,6622
590,600,510,13.560028553009033,14.42472437321755,37.61054027329674,72605,11.21693857372389,6700
600,610,481,11.54751443862915,14.165315627154992,41.65398558766395,73086,11.291249536522061,6653
610,620,381,14.17197561264038,13.379975270597239,26.884042875446063,73467,11.350111234705228,6668
620,630,345,13.677004098892212,13.61757537321018,25.224822446894184,73812,11.403411197626994,6630
630,640,374,13.163376092910767,13.635403990914789,28.412163973755977,74186,11.461191447287108,6723
640,650,430,11.19692087173462,13.49379562151358,38.403415092937486,74616,11.527623285131627,6710
650,660,461,11.730552911758423,12.80473319657989,39.299085343019485,75077,11.598844395006799,6645
660,670,355,11.496901750564575,12.48247911113345,30.877884120612503,75432,11.653689284390063,6718
670,680,369,11.279825687408447,12.186805902962787,32.71327148361086,75801,11.710697070819428,6753
680,690,454,12.175052881240845,11.914711838296483,37.28936575704874,76255,11.780836732171549,6676
690,700,368,12.394302606582642,11.992814151179791,29.691061424025133,76623,11.837690025954764,6632
700,710,446,10.707377433776855,12.113260687800645,41.65352372776876,77069,11.906593746137684,6675
710,720,373,11.561546802520752,11.691495711593507,32.26211910664715,77442,11.96421950315165,6718
720,730,465,10.969557285308838,11.652511038871681,42.39004254280699,77907,12.03605858361142,6683
730,740,347,12.895054340362549,11.447624912802828,26.90954150645665,78254,12.089667531825485,6697
740,750,483,11.503245115280151,11.881853741070744,41.98815161805208,78737,12.164287479915956,6690
750,760,334,11.983758687973022,11.768271153333567,27.871055208680442,79071,12.21588802373007,6733
760,770,352,12.387305736541748,11.832917413725403,28.4161873038802,79423,12.270269435174885,6693
770,780,442,11.415982246398926,11.999233910570306,38.71764956006524,79865,12.338555184773204,6676
780,790,402,11.571260452270508,11.82425841131889,34.74124548990856,80267,12.400661228525522,6679
790,800,352,11.686316728591919,11.748359023604376,30.12069655264361,80619,12.455042639970337,6716
800,810,356,10.867133855819702,11.72974633510064,32.75932777890193,80975,12.510042021999753,6773
810,820,387,11.825928211212158,11.470962591316358,32.72470397994514,81362,12.569830676059821,6691
820,830,345,11.116213321685791,11.577452277285097,31.035748416861093,81707,12.623130638981584,6706
830,840,361,11.273797273635864,11.439080590605304,32.021154118516044,82068,12.67890248424175,6672
840,850,290,11.062257528305054,11.389495595514472,26.215263860742308,82358,12.723705351625261,6740
850,860,278,11.274872303009033,11.291324175351646,24.65659854309902,82636,12.766654307254974,6655
860,870,293,11.876777410507202,11.286388613648862,24.669991688215646,82929,12.811920652576939,6699
870,880,424,11.610451221466064,11.463505252706364,36.51882187111597,83353,12.877425534544557,6678
880,890,314,12.343065738677979,11.507589043334274,25.439384886046263,83667,12.925936225435668,6695
890,900,305,12.217336416244507,11.758232051937386,24.96452496752595,83972,12.973056482511433,6748
900,910,317,10.976669549942017,11.895963361229521,28.879433653140676,84289,13.022030651340996,6692
910,920,289,11.694240093231201,11.620175217843268,24.713020914225755,84578,13.06667902607836,6726
920,930,309,12.10628628730774,11.642394680459647,25.52392968964862,84887,13.114417253738722,6688
930,940,292,11.946801662445068,11.781562162514074,24.441688097820016,85179,13.159529106414535,6630
940,950,201,12.345710515975952,11.831134012493372,16.280958454347054,85380,13.190582128290693,6741
950,960,273,11.318094968795776,11.985506963538146,24.120667016195455,85653,13.232758620689655,6680
960,970,291,11.344815015792847,11.785283365115435,25.65048434856856,85944,13.277715980719318,6678
970,980,314,10.454903364181519,11.653142860318658,30.03375440807645,86258,13.326226671610431,6704
980,990,308,10.953468084335327,11.293671011477516,28.11894804719193,86566,13.373810406624646,6680
990,1000,290,11.567142248153687,11.191610133334859,25.071015275729746,86856,13.418613274008157,6670
1000,1010,278,13.858546257019043,11.304269767780506,20.059824085747756,87134,13.461562229637869,6711
1010,1020,413,12.13931941986084,12.070552714552067,34.02167664558698,87547,13.525367692497836,6714
1020,1030,139,11.697845935821533,12.091182726144698,11.882529549679704,87686,13.546842170312692,6674
1030,1040,260,12.077181339263916,11.973181689047749,21.528202044521638,87946,13.587010258311704,6661
1040,1050,296,11.975815773010254,12.004381584112599,24.716479078368213,88242,13.632740081572118,6702
1050,1060,257,11.611005783081055,11.995811840781895,22.134172077882077,88499,13.672444691632679,6720
1060,1070,268,10.460385084152222,11.880370023471642,25.620471698123957,88767,13.71384872080089,6715
1070,1080,193,9.824756145477295,11.454374541675815,19.644253469725573,88960,13.743665801507849,6655
1080,1090,200,11.230567455291748,10.965489022816257,17.80853913181045,89160,13.774564330737856,6776
1090,1100,253,12.470757484436035,11.045012552558903,20.287460510378246,89413,13.813650970213818,6711
1100,1110,223,10.646896839141846,11.472736032122043,20.945070039579168,89636,13.848102830305278,6727
1110,1120,276,11.22502851486206,11.224984274227984,24.587910813284168,89912,13.89074280064269,6703
1120,1130,332,11.97932505607605,11.224997546418207,27.71441616667759,90244,13.942034359164504,6774
1130,1140,202,11.851588487625122,11.45129579931556,17.044128743663265,90446,13.973241873686812,6744
1140,1150,238,12.8439302444458,11.571383605808428,18.53015357996982,90684,14.010011123470523,6673
1150,1160,268,11.373416662216187,11.953147597399639,23.563719501311088,90952,14.051415152638736,6700
1160,1170,256,11.227882146835327,11.779228316844604,22.800381821976618,91208,14.090965270053147,6725
1170,1180,217,11.744037389755249,11.61382446584182,18.477461608671053,91425,14.124490174267704,6652
1180,1190,212,12.029184103012085,11.652888343015848,17.623805420595033,91637,14.157242615251514,6675
1190,1200,253,10.864264011383057,11.765777071014718,23.287357499313224,91890,14.196329254727475,6674
1200,1210,196,11.069692134857178,11.495323153125218,17.70600280587919,92086,14.226609813372884,6703
1210,1220,228,12.344533920288086,11.367633847644804,18.46971311126497,92314,14.261834136695093,6656
1220,1230,159,10.681144714355469,11.660703869437787,14.886044918603513,92473,14.286398467432951,6701
1230,1240,253,11.261711597442627,11.36683612291309,22.465501607895256,92726,14.32548510690891,6709
1240,1250,283,10.615818500518799,11.33529876527195,26.658330677579848,93009,14.369206525769373,6754
1250,1260,189,12.495357275009155,11.119454685846005,15.125617926748038,93198,14.39840563589173,6669
1260,1270,263,11.155735731124878,11.53222546259495,23.575316441588082,93461,14.439037201829194,6703
1270,1280,166,11.388923645019531,11.419278543153927,14.575565275002361,93627,14.4646829810901,6674
1280,1290,154,10.240572452545166,11.410172073713609,15.03822180973147,93781,14.488474848597207,6675
